date,NZD exchange rate
1988-2-28,1.506024096385542
1988-3-30,1.5082956259426847
1988-4-29,1.510574018126888
1988-5-30,1.4492753623188408
1988-6-29,1.4224751066856332
1988-7-30,1.4947683109118086
1988-8-30,1.5313935681470137
1988-9-29,1.6260162601626016
1988-10-30,1.6103059581320451
1988-11-29,1.5600624024960998
1988-12-30,1.567398119122257
1989-1-30,1.6
1989-2-27,1.6207455429497568
1989-3-30,1.6233766233766234
1989-4-29,1.6339869281045751
1989-5-30,1.6474464579901154
1989-6-29,1.7421602787456447
1989-7-30,1.733102253032929
1989-8-30,1.6920473773265652
1989-9-29,1.6891891891891893
1989-10-30,1.7006802721088436
1989-11-29,1.7006802721088436
1989-12-30,1.680672268907563
1990-1-30,1.658374792703151
1990-2-27,1.6891891891891893
1990-3-30,1.7064846416382253
1990-4-29,1.7271157167530227
1990-5-30,1.7421602787456447
1990-6-29,1.7152658662092626
1990-7-30,1.6891891891891893
1990-8-30,1.6286644951140066
1990-9-29,1.607717041800643
1990-10-30,1.6313213703099512
1990-11-29,1.6366612111292962
1990-12-30,1.6750418760469012
1991-1-30,1.680672268907563
1991-2-27,1.6611295681063123
1991-3-30,1.680672268907563
1991-4-29,1.6949152542372883
1991-5-30,1.7035775127768313
1991-6-29,1.733102253032929
1991-7-30,1.7605633802816902
1991-8-30,1.7421602787456447
1991-9-29,1.7241379310344829
1991-10-30,1.7699115044247788
1991-11-29,1.7761989342806397
1991-12-30,1.8050541516245486
1992-1-30,1.8484288354898335
1992-2-28,1.8450184501845017
1992-3-30,1.824817518248175
1992-4-29,1.8450184501845017
1992-5-30,1.8656716417910446
1992-6-29,1.8450184501845017
1992-7-30,1.8315018315018314
1992-8-30,1.8484288354898335
1992-9-29,1.8484288354898335
1992-10-30,1.8518518518518516
1992-11-29,1.9193857965451055
1992-12-30,1.937984496124031
1993-1-30,1.949317738791423
1993-2-27,1.937984496124031
1993-3-30,1.8867924528301885
1993-4-29,1.8552875695732838
1993-5-30,1.8416206261510129
1993-6-29,1.8518518518518516
